Name,isMasked/hasHelmet,hasHelmet,hasVisibleHair,isMale,isMarvel,isDC,hasFacialHair,isHero,isVillain,canFly,isAvenger,justiceLeagueMember,inX-Men,standAloneMovie,wearingRed,royalty
theHulk,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
harleyQuinn,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
batman,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
catwoman,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
storm,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0
blackWidow,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
ironMan,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0
superman,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0
greenGoblin,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
aquaman,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1
mystique,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
wolverine,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0
thor,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1
blackPanther,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
captainAmerica,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
spiderman,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
cyborg,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
joker,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
wonderWoman,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1
theFlash,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
